"월","대여소번호","월평균회전율","월최대회전율"
1,1601,26.61,59.09
1,1602,22.96,46.67
1,1603,19.3,36.36
1,1605,21.41,50
1,1606,25.55,61.54
1,1608,40.3,76.47
1,1610,23.81,54.55
1,1611,12.38,36
1,1616,36.25,73.91
1,1617,7.95,19.05
1,1619,30.85,68.75
1,1620,21.78,71.43
1,1623,24.58,48.28
1,1625,23.78,45.45
1,1627,10.75,25
1,1628,16.34,40
1,1630,12.5,30.77
1,1634,17.11,35.29
1,1635,16.01,35.71
1,1636,47.52,100
1,1637,42.9,87.5
1,1639,13.77,33.33
1,1640,21.33,38.46
1,1641,10.1,29.41
1,1642,37.03,88.89
1,1643,23.53,80
1,1646,6.89,14.29
1,1650,14.99,29.63
1,1651,7.34,14.29
1,1652,15.35,27.27
1,1654,9.59,23.53
1,1655,17.35,33.33
1,1656,22.42,66.67
1,1657,21.41,33.33
1,1659,18.86,42.86
1,1660,19.34,36.36
2,1601,31.32,74.07
2,1602,22.54,47.06
2,1603,28.49,62.5
2,1605,22.35,54.55
2,1606,27.94,84.62
2,1608,40.34,85
2,1610,22.08,46.88
2,1611,21.41,46.43
2,1616,42.39,80
2,1617,10.74,26.09
2,1619,39.51,100
2,1620,25.13,50
2,1623,27.57,57.69
2,1625,25.03,45.71
2,1627,12.67,31.25
2,1628,14.77,30.77
2,1630,11.12,18.18
2,1634,14.46,29.41
2,1635,15.22,30.77
2,1636,54.74,88.89
2,1637,44.91,64.52
2,1639,15.35,33.33
2,1640,21.91,61.54
2,1641,9.96,23.53
2,1642,40.03,77.78
2,1643,30.16,72.73
2,1646,11,23.81
2,1650,17.62,46.43
2,1651,7.73,14.29
2,1652,13.33,20
2,1654,10.74,20
2,1655,24.46,45
2,1656,27.48,54.55
2,1657,36.88,69.23
2,1659,18.21,54.55
2,1660,19.84,44.44
3,1601,66.22,112.9
3,1602,52.74,95.83
3,1603,58.56,111.76
3,1605,54.08,83.33
3,1606,73.04,118.18
3,1608,75.48,110.34
3,1610,67.51,111.76
3,1611,55.98,80.56
3,1616,76.79,118.18
3,1617,18.18,46.43
3,1619,72.19,115.62
3,1620,42.18,80
3,1623,49.4,93.02
3,1625,52.87,85
3,1627,21.03,44.44
3,1628,30.08,58.33
3,1630,19.49,46.15
3,1634,26.31,55.56
3,1635,28.8,62.5
3,1636,86.54,120
