"자전거번호","대여날짜","고장구분"
"SPB-00004","2019-05-12","페달"
"SPB-00004","2019-05-13","단말기"
"SPB-00014","2019-07-23","페달"
"SPB-00014","2019-08-21","안장"
"SPB-00014","2019-08-29","단말기"
"SPB-00015","2019-07-14","단말기"
"SPB-00028","2019-07-16","페달"
"SPB-00028","2019-07-16","체인"
"SPB-00028","2019-09-27","타이어 "
"SPB-00028","2019-09-27","단말기"
"SPB-00028","2019-11-01","체인"
"SPB-00028","2019-11-01","타이어 "
"SPB-00028","2019-11-01","단말기"
"SPB-00028","2019-11-01","페달"
"SPB-00101","2019-08-26","기타 "
"SPB-00107","2019-07-23","기타 "
"SPB-00151","2019-09-08","기타 "
"SPB-00152","2019-07-05","기타 "
"SPB-00183","2019-08-13","기타 "
"SPB-00210","2019-12-04","기타 "
"SPB-00210","2019-12-04","체인"
"SPB-00261","2019-10-09","타이어 "
"SPB-00323","2019-06-24","안장"
"SPB-00401","2019-06-23","기타 "
"SPB-00451","2019-10-01","단말기"
"SPB-00463","2019-09-11","페달"
"SPB-00463","2019-09-11","안장"
"SPB-00463","2019-09-11","체인"
"SPB-00463","2019-10-25","단말기"
"SPB-00465","2019-07-22","타이어 "
"SPB-00465","2019-07-24","안장"
"SPB-00507","2019-10-12","기타 "
"SPB-00572","2019-08-23","기타 "
"SPB-00615","2019-06-04","타이어 "
"SPB-00618","2019-09-24","체인"
"SPB-00620","2019-09-16","체인"
"SPB-00625","2019-09-17","안장"
"SPB-00656","2019-10-15","타이어 "
"SPB-00679","2019-03-17","안장"
"SPB-00679","2019-03-17","기타 "
"SPB-00679","2019-03-17","체인"
"SPB-00716","2019-07-15","기타 "
"SPB-00761","2019-07-27","안장"
"SPB-00769","2019-05-11","안장"
"SPB-00785","2019-10-21","기타 "
"SPB-00801","2019-08-21","단말기"
"SPB-00834","2019-10-23","기타 "
"SPB-00840","2019-09-02","체인"
"SPB-00840","2019-09-02","페달"
"SPB-00875","2019-09-20","안장"
"SPB-00876","2019-06-04","안장"
"SPB-00887","2019-09-23","타이어 "
"SPB-00887","2019-10-01","타이어 "
"SPB-00978","2019-08-14","체인"
"SPB-01017","2019-10-06","안장"
"SPB-01083","2019-03-29","안장"
"SPB-01083","2019-04-17","안장"
"SPB-01113","2019-05-09","단말기"
"SPB-01114","2019-06-04","페달"
"SPB-01114","2019-11-13","안장"
"SPB-01141","2019-09-23","체인"
"SPB-01160","2019-11-16","안장"
"SPB-01160","2019-11-19","단말기"
"SPB-01163","2019-09-21","단말기"
"SPB-01199","2019-09-09","체인"
"SPB-01247","2019-09-09","기타 "
"SPB-01247","2019-09-09","타이어 "
"SPB-01247","2019-09-09","페달"
"SPB-01254","2019-10-24","타이어 "
"SPB-01272","2019-09-20","페달"
"SPB-01310","2019-09-02","안장"
"SPB-01321","2019-05-10","안장"
"SPB-01324","2019-07-03","안장"
"SPB-01350","2019-07-19","단말기"
"SPB-01372","2019-10-05","타이어 "
"SPB-01402","2019-10-26","안장"
"SPB-01402","2019-10-26","기타 "
"SPB-01402","2019-10-26","페달"
"SPB-01472","2019-05-03","체인"
"SPB-01491","2019-12-06","기타 "
"SPB-01522","2019-06-04","기타 "
"SPB-01522","2019-08-28","안장"
"SPB-01522","2019-08-29","체인"
"SPB-01522","2019-08-29","페달"
"SPB-01522","2019-08-29","기타 "
"SPB-01522","2019-08-31","페달"
"SPB-01522","2019-08-31","체인"
"SPB-01543","2019-07-29","체인"
"SPB-01571","2019-07-13","타이어 "
"SPB-01590","2019-08-31","타이어 "
"SPB-01597","2019-03-08","페달"
"SPB-01597","2019-03-10","페달"
"SPB-01643","2019-07-29","페달"
"SPB-01675","2019-05-05","단말기"
"SPB-01675","2019-05-05","안장"
"SPB-01680","2019-06-04","타이어 "
"SPB-01680","2019-10-28","체인"
"SPB-01680","2019-10-28","기타 "
"SPB-01683","2019-09-27","타이어 "
"SPB-01766","2019-10-15","타이어 "
"SPB-01777","2019-10-15","페달"
"SPB-01777","2019-10-15","체인"
"SPB-01791","2019-10-04","체인"
"SPB-01811","2019-02-14","타이어 "
"SPB-01811","2019-02-14","체인"
"SPB-01885","2019-09-15","페달"
"SPB-01888","2019-09-28","타이어 "
"SPB-01889","2019-09-24","안장"
"SPB-01889","2019-09-24","체인"
"SPB-01889","2019-09-27","체인"
"SPB-01900","2019-09-13","체인"
"SPB-01987","2019-11-01","페달"
"SPB-01987","2019-11-01","체인"
"SPB-01990","2019-10-23","체인"
"SPB-01990","2019-10-23","기타 "
"SPB-01999","2019-11-12","체인"
"SPB-02019","2019-09-03","기타 "
"SPB-02078","2019-10-05","안장"
"SPB-02083","2019-09-02","체인"
"SPB-02084","2019-05-14","체인"
"SPB-02104","2019-07-06","타이어 "
"SPB-02104","2019-07-06","단말기"
"SPB-02104","2019-09-26","안장"
"SPB-02104","2019-09-26","단말기"
"SPB-02111","2019-04-12","단말기"
"SPB-02113","2019-02-27","타이어 "
"SPB-02114","2019-09-24","체인"
"SPB-02150","2019-05-14","단말기"
"SPB-02150","2019-06-23","페달"
"SPB-02150","2019-06-23","체인"
"SPB-02153","2019-06-12","기타 "
"SPB-02169","2019-10-22","체인"
"SPB-02190","2019-09-02","타이어 "
"SPB-02213","2019-09-16","페달"
