"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53"
"1601",97,253,284,142,221,686,997,58,264,244,475,32,56,253,120,372,690,182,44,0,226,23,71,104,873,77,204,491,90,149,287,873,77,322,693,284,127,335,186,68,27,208,94,18,282,180,91,41,775,173,77,364,348
"1602",121,58,347,163,273,741,1065,0,355,440,282,47,135,329,25,333,496,170,41,43,330,25,97,86,780,74,0,131,83,172,294,919,81,127,657,301,132,312,214,84,67,292,80,16,306,192,109,144,770,168,90,350,298
"1603",123,202,465,132,344,649,817,0,74,651,329,57,171,357,13,525,853,85,61,244,522,3,97,64,721,94,174,173,79,194,284,719,62,0,176,300,166,275,212,62,27,327,58,22,321,209,99,215,1131,126,80,428,251
"1605",155,324,604,94,336,688,806,26,298,563,313,48,191,314,27,124,1207,127,58,260,526,78,142,82,494,128,541,267,22,206,198,723,67,126,238,238,208,252,170,51,0,117,35,24,277,203,100,94,1047,128,73,447,323
"1606",132,135,627,99,371,757,890,58,472,805,217,64,179,274,31,454,1133,86,63,180,476,124,29,136,465,176,640,261,21,239,352,414,84,308,340,55,178,155,197,78,14,109,38,20,234,187,73,0,256,117,106,445,302
"1608",99,0,191,93,424,665,818,57,167,758,256,53,203,366,36,712,1517,52,52,200,398,105,136,145,421,160,555,199,34,72,427,460,89,362,351,78,281,281,111,93,71,169,8,25,174,204,80,63,402,92,133,333,264
"1610",101,94,290,105,458,581,680,55,0,174,270,87,208,297,32,286,1425,78,57,226,438,118,206,171,302,158,590,170,32,220,515,447,98,353,264,97,76,415,128,123,62,202,8,32,293,129,141,212,502,22,117,257,255
"1611",162,337,391,17,479,372,624,82,145,223,208,90,157,242,25,0,405,79,52,182,423,112,75,188,386,183,609,206,31,309,756,336,95,386,245,81,215,392,88,166,53,201,13,2,448,132,156,229,581,33,165,422,186
"1616",235,340,408,59,632,628,384,80,496,364,37,96,98,243,36,214,488,71,58,152,342,93,0,58,343,182,568,222,29,124,670,336,74,419,308,104,353,525,79,117,43,257,2,21,396,124,207,229,431,34,55,578,156
"1617",302,318,339,50,160,928,381,99,551,392,155,157,147,154,39,741,785,18,69,106,310,81,73,83,313,229,482,196,18,0,187,263,100,395,287,98,144,553,80,144,63,247,7,38,595,102,192,239,462,31,190,532,134
