"월","대여소ID","월평균회전율","월최대회전율"
1,1601,64.83,93.75
1,1602,39.67,70
1,1603,53.55,108.33
1,1605,44.36,81.25
1,1606,56.68,85.71
1,1608,63.26,90.62
1,1610,51.85,83.87
1,1611,53.73,77.42
1,1616,65.23,90.91
1,1617,26.48,44
1,1619,64.01,95.45
1,1620,65.66,95.45
1,1623,46.53,67.5
1,1625,62.35,88.1
1,1627,21.93,61.54
1,1628,28.18,46.15
1,1630,26.77,53.85
1,1634,35.78,68
1,1635,31.64,54.55
1,1636,81.02,114.81
1,1637,66.95,92.86
1,1639,22.75,45.45
1,1640,42.15,64.71
1,1641,20.65,47.37
1,1642,59.33,150
1,1643,64.7,130.77
1,1646,10.3,23.81
1,1650,49.26,80.65
1,1651,23.1,42.31
1,1652,20.07,36.36
1,1653,71.2,112.9
1,1654,22.27,38.89
1,1655,43.74,77.42
1,1656,65.56,95.24
1,1657,21.49,50
1,1659,55.38,90.48
1,1660,38.65,69.23
1,1661,57.23,84.62
1,1662,57.17,85
1,1663,54.62,82.76
1,1664,26.63,53.33
1,1665,57.81,88.24
1,1666,65.43,100
1,1667,55.08,84.21
1,1668,73.07,111.54
1,1669,62,78.95
1,1670,49.83,72.73
1,1671,32.55,68.42
1,1672,30.67,52.63
1,1673,63.17,81.58
1,1674,47.3,85
1,1675,22,40
1,1677,33.72,70
1,1678,18.42,40
1,1679,9.86,20
1,1680,11.38,20
1,1681,48.81,88.24
1,1682,39.54,66.67
1,1683,52.3,82.35
1,1684,55.8,88
1,1685,43.08,100
1,1686,63.42,107.69
1,1688,48.21,85.71
1,1689,40.17,91.67
1,1690,35.48,61.54
1,1691,59.02,91.3
1,1692,54.74,100
2,1601,63.55,103.85
2,1602,38.28,66.67
2,1603,64.94,126.67
2,1605,50.28,88.89
2,1606,52.79,100
2,1608,65.47,86.54
2,1610,59.03,96.43
2,1611,45.06,69.44
2,1616,74.27,103.7
2,1617,35.5,53.57
2,1619,66.84,92.59
2,1620,59.18,94.12
2,1623,52.8,79.31
2,1625,61.05,88.71
2,1627,35.62,73.33
2,1628,35.87,56.25
2,1630,31.12,91.67
2,1634,42.37,70
2,1635,37.57,61.54
2,1636,78.41,124
2,1637,68.77,97.92
2,1639,23.32,50
2,1640,52.22,107.14
2,1641,36.49,66.67
2,1642,55.47,120
2,1643,71.18,158.33
2,1646,12.07,34.78
2,1650,43.86,73.53
2,1651,28.15,50
2,1652,19.58,53.85
2,1653,70.37,96.55
2,1654,25.96,47.37
2,1655,53.19,102.86
2,1656,69.88,89.47
2,1657,29.43,60.71
2,1659,45.87,94.12
2,1660,37.21,88.89
2,1661,58.85,105.56
2,1662,63.97,115.79
2,1663,48.47,72.5
2,1664,24.74,50
2,1665,57.54,100
2,1666,63.75,95.24
2,1667,56.91,104.55
2,1668,80.71,119.05
2,1669,69.44,116
2,1670,51.25,87.5
2,1671,32.67,79.17
2,1672,32.74,54.55
2,1673,65.72,96
2,1674,49.54,83.33
2,1675,18.62,37.5
2,1677,31.3,57.14
2,1678,21.47,50
2,1679,14.24,35.29
2,1680,16.64,33.33
2,1681,49.89,78.26
2,1682,45.99,83.33
2,1683,51.98,85
2,1684,52.04,111.11
2,1685,52.19,112.5
2,1686,67.41,107.69
2,1688,57.21,105.56
2,1689,49.43,81.25
2,1690,38.75,81.25
2,1691,52.44,85.71
2,1692,68.2,133.33
3,1601,101.07,156.1
3,1602,71.17,133.33
3,1603,81.32,121.43
3,1605,80.44,138.1
3,1606,84.03,155.56
3,1608,93.88,125.53
3,1610,79.65,121.57
3,1611,67.95,90.7
3,1616,87.5,113.51
3,1617,47.13,69.05
3,1619,74.58,94.44
3,1620,76.72,105.26
3,1623,66.34,92.16
3,1625,71.2,100
3,1627,44.84,126.32
3,1628,40.69,72.22
3,1630,37.65,63.64
3,1634,51.85,83.33
3,1635,41.62,68.42
3,1636,95.87,125.45
3,1637,85.66,110.42
3,1639,44.01,105.88
3,1640,73.9,110.53
3,1641,37,70
3,1642,81.53,141.18
3,1643,98.49,180.95
3,1646,23.34,44.44
3,1650,65.55,90
3,1651,28.06,53.12
3,1652,24.64,46.15
3,1653,82.16,112.77
3,1654,36.82,63.16
3,1655,64.68,113.16
3,1656,82.14,110.64
3,1657,40.99,72.22
3,1659,74.31,109.09
3,1660,54.94,150
3,1661,79.88,116.67
3,1662,88.14,129.63
3,1663,91.01,134.15
3,1664,41,80
3,1665,67.54,108.33
3,1666,71.28,118.75
3,1667,69.95,163.64
3,1668,83.91,110.34
3,1669,73.4,100
3,1670,63.54,82.61
3,1671,64.48,112.5
3,1672,45.63,75
3,1673,73.82,87.76
3,1674,78.72,144
3,1675,26.51,66.67
3,1677,51.7,82.35
3,1678,31.39,71.43
3,1679,33.31,80
3,1680,31.7,75
3,1681,64.8,100
3,1682,65,96
3,1683,66.74,100
3,1684,77.93,115.79
3,1685,65.7,115.38
3,1686,86.44,136.36
3,1688,68.33,100
3,1689,64.14,111.76
3,1690,69.98,127.78
3,1691,67.63,95
3,1692,84.95,138.46
3,1693,19.59,26.67
4,1601,122.04,178.26
4,1602,88.81,130.56
4,1603,98.08,137.21
4,1605,95.9,150
4,1606,97.8,127.27
4,1608,97.73,129.23
4,1610,94.04,125.37
4,1611,82.2,108.33
4,1616,94.23,133.82
4,1617,56.43,82.22
4,1619,81.98,102.13
4,1620,89.05,122.22
4,1623,72.61,93.33
4,1625,83.02,103.45
4,1627,59.93,92
4,1628,55.1,100
