대여날짜,대여소ID,회전율,월
2019-01-01,1601,35.71,1
2019-01-01,1602,47.37,1
2019-01-01,1603,40,1
2019-01-01,1605,28.57,1
2019-01-01,1606,42.86,1
2019-01-01,1608,33.33,1
2019-01-01,1610,44,1
2019-01-01,1611,43.33,1
2019-01-01,1616,72.22,1
2019-01-01,1620,57.14,1
2019-01-01,1623,29.63,1
2019-01-01,1625,55.88,1
2019-01-01,1627,16.67,1
2019-01-01,1628,20,1
2019-01-01,1634,34.78,1
2019-01-01,1635,27.27,1
2019-01-01,1636,78.26,1
2019-01-01,1637,50,1
2019-01-01,1639,20,1
2019-01-01,1640,40,1
2019-01-01,1641,15,1
2019-01-01,1642,57.14,1
2019-01-01,1643,50,1
2019-01-01,1650,24.14,1
2019-01-01,1651,16,1
2019-01-01,1652,16.67,1
2019-01-01,1653,53.85,1
2019-01-01,1654,33.33,1
2019-01-01,1655,41.67,1
2019-01-01,1656,54.55,1
2019-01-01,1657,19.05,1
2019-01-01,1659,23.08,1
2019-01-01,1660,11.11,1
2019-01-01,1661,33.33,1
2019-01-01,1662,38.89,1
2019-01-01,1663,48.48,1
2019-01-01,1664,20,1
2019-01-01,1665,52,1
2019-01-01,1666,33.33,1
2019-01-01,1667,73.33,1
2019-01-01,1668,65.22,1
2019-01-01,1669,64.29,1
2019-01-01,1670,36.84,1
2019-01-01,1671,15.79,1
2019-01-01,1672,21.05,1
2019-01-01,1673,68.97,1
2019-01-01,1674,31.58,1
2019-01-01,1675,6.67,1
2019-01-01,1677,15.38,1
2019-01-01,1678,21.05,1
2019-01-01,1681,29.41,1
2019-01-01,1682,18.75,1
2019-01-01,1683,14.29,1
2019-01-01,1684,42.86,1
2019-01-01,1685,11.11,1
2019-01-01,1686,23.08,1
2019-01-01,1688,42.86,1
2019-01-01,1689,41.67,1
2019-01-01,1690,25,1
2019-01-01,1691,35.71,1
2019-01-01,1692,33.33,1
2019-01-02,1601,58.62,1
2019-01-02,1602,41.18,1
2019-01-02,1603,30,1
2019-01-02,1605,38.46,1
2019-01-02,1606,82.35,1
2019-01-02,1608,51.52,1
2019-01-02,1610,25,1
2019-01-02,1611,69.7,1
2019-01-02,1616,43.48,1
2019-01-02,1620,57.14,1
2019-01-02,1623,28.57,1
2019-01-02,1625,57.14,1
2019-01-02,1627,7.14,1
2019-01-02,1628,16.67,1
2019-01-02,1634,22.73,1
2019-01-02,1635,16.67,1
2019-01-02,1636,92,1
2019-01-02,1637,61.76,1
2019-01-02,1639,36.36,1
2019-01-02,1640,30.77,1
2019-01-02,1641,22.22,1
2019-01-02,1642,40,1
2019-01-02,1643,45.45,1
2019-01-02,1646,13.04,1
2019-01-02,1650,45.71,1
2019-01-02,1651,17.39,1
2019-01-02,1652,30,1
2019-01-02,1653,58.82,1
2019-01-02,1654,16.67,1
2019-01-02,1655,46.43,1
2019-01-02,1656,68,1
2019-01-02,1657,16.67,1
2019-01-02,1659,60,1
2019-01-02,1660,41.67,1
2019-01-02,1661,47.06,1
2019-01-02,1662,38.89,1
2019-01-02,1663,50,1
2019-01-02,1664,18.18,1
2019-01-02,1665,37.93,1
2019-01-02,1666,47.83,1
2019-01-02,1667,47.06,1
2019-01-02,1668,69.57,1
2019-01-02,1669,76.19,1
2019-01-02,1670,59.26,1
2019-01-02,1671,42.11,1
2019-01-02,1672,33.33,1
2019-01-02,1673,66.67,1
2019-01-02,1674,60,1
2019-01-02,1675,6.67,1
2019-01-02,1677,16.67,1
2019-01-02,1678,15,1
2019-01-02,1679,18.75,1
2019-01-02,1680,9.09,1
2019-01-02,1681,33.33,1
2019-01-02,1682,21.05,1
2019-01-02,1683,52.38,1
2019-01-02,1684,41.67,1
2019-01-02,1685,72.73,1
2019-01-02,1686,83.33,1
2019-01-02,1688,41.67,1
2019-01-02,1689,50,1
2019-01-02,1690,23.08,1
2019-01-02,1691,66.67,1
2019-01-02,1692,35.71,1
2019-01-03,1601,54.29,1
2019-01-03,1602,61.11,1
2019-01-03,1603,71.43,1
2019-01-03,1605,13.33,1
2019-01-03,1606,61.11,1
2019-01-03,1608,71.43,1
2019-01-03,1610,65.22,1
2019-01-03,1611,44.74,1
2019-01-03,1616,76.19,1
2019-01-03,1620,40,1
2019-01-03,1623,45.45,1
2019-01-03,1625,63.46,1
2019-01-03,1627,12.5,1
2019-01-03,1628,16.67,1
2019-01-03,1630,9.09,1
2019-01-03,1634,29.03,1
2019-01-03,1635,16.67,1
2019-01-03,1636,114.81,1
2019-01-03,1637,78.95,1
2019-01-03,1639,9.09,1
2019-01-03,1640,38.46,1
2019-01-03,1641,15.79,1
2019-01-03,1642,75,1
2019-01-03,1643,100,1
2019-01-03,1646,9.52,1
2019-01-03,1650,35.29,1
2019-01-03,1651,20,1
2019-01-03,1652,27.27,1
2019-01-03,1653,68.57,1
2019-01-03,1654,12.5,1
2019-01-03,1655,62.5,1
2019-01-03,1656,73.33,1
2019-01-03,1657,17.86,1
2019-01-03,1659,31.58,1
2019-01-03,1660,42.86,1
2019-01-03,1661,50,1
2019-01-03,1662,84.21,1
2019-01-03,1663,67.74,1
2019-01-03,1664,25,1
2019-01-03,1665,69.23,1
2019-01-03,1666,73.91,1
2019-01-03,1667,47.37,1
2019-01-03,1668,48.39,1
2019-01-03,1669,50,1
2019-01-03,1670,50,1
