"날짜","대여소번호","회전율","월","평균기온","강수계속시간","평균풍속","평균상대습도","평균현지기압","합계일조시간","일최심적설","평균전운량","평균지면온도","안개계속시간"
"2018-01-01",1601,38.46,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1602,22.22,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1603,36.36,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1605,7.14,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1606,25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1608,42.86,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1610,5,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1611,13.04,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1616,21.05,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1617,9.09,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1619,41.67,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1620,18.18,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1623,30.77,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1625,26.67,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1627,6.67,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1628,20,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1630,9.09,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1634,31.25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1635,18.18,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1636,21.43,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1637,40,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1639,25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1640,25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1641,6.25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1642,25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1643,10,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1650,14.29,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1654,23.53,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1655,6.25,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1656,45.45,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1657,18.18,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-01",1659,7.69,1,-1.3,0,1.4,39.1,1016.8,8.3,0,1,-1.7,0
"2018-01-02",1601,31.82,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1602,31.25,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1603,30,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1605,30,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1608,55.56,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1610,29.17,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1611,25,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1616,40.91,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1617,4.55,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1619,38.46,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1620,30,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1623,34.29,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1625,45.45,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1627,14.29,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1628,10,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1630,9.09,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1634,5.88,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1636,100,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1637,36,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1640,23.53,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1641,6.25,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1642,22.22,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1643,9.09,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1646,5,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1650,29.17,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1651,4.76,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1655,22.22,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1656,15.38,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1657,30.77,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-02",1660,25,1,-1.8,0,1.8,42,1018.1,7.9,0,2.3,-2.3,0
"2018-01-03",1601,26.09,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1602,31.25,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1603,9.09,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1605,16.67,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1606,25,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1608,63.16,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1610,34.78,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1611,23.81,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1616,60,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1617,4.35,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1619,40,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1620,10,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1623,25,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1625,42.86,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1627,7.14,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1628,9.09,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1630,9.09,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1634,6.67,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1636,66.67,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1637,40.74,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1639,9.09,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1640,30.77,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1641,6.67,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1642,70,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1643,16.67,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1646,9.52,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1650,8,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1654,6.67,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1655,21.05,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1656,23.08,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1657,25,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1659,18.18,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-03",1660,10,1,-4.7,0,2.2,42.3,1019.9,8.6,0,3.6,-3.4,0
"2018-01-04",1601,23.08,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1602,17.65,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1603,20,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1605,16.67,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1606,46.15,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1608,68.42,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1610,23.08,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1611,8.7,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1616,41.67,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1617,10,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1619,27.27,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1620,16.67,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
"2018-01-04",1623,38.71,1,-4.7,0,1.4,43,1016.5,6.2,0,6.5,-3.3,0
