"날짜","대여소ID","회전율","월","평균기온","강수계속시간","평균풍속","평균상대습도","평균현지기압","합계일조시간","일최심적설","평균전운량","평균지면온도","안개계속시간"
"2019-01-01",1601,35.71,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1602,47.37,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1603,40,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1605,28.57,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1606,42.86,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1608,33.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1610,44,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1611,43.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1616,72.22,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1620,57.14,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1623,29.63,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1625,55.88,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1627,16.67,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1628,20,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1634,34.78,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1635,27.27,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1636,78.26,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1637,50,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1639,20,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1640,40,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1641,15,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1642,57.14,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1643,50,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1650,24.14,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1651,16,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1652,16.67,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1653,53.85,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1654,33.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1655,41.67,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1656,54.55,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1657,19.05,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1659,23.08,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1660,11.11,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1661,33.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1662,38.89,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1663,48.48,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1664,20,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1665,52,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1666,33.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1667,73.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1668,65.22,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1669,64.29,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1670,36.84,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1671,15.79,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1672,21.05,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1673,68.97,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1674,31.58,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1675,6.67,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1677,15.38,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1678,21.05,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1681,29.41,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1682,18.75,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1683,14.29,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1684,42.86,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1685,11.11,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1686,23.08,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1688,42.86,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1689,41.67,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1690,25,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1691,35.71,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-01",1692,33.33,1,-5,0,2.1,49.5,1022.6,7.5,0,3.4,-3.9,0
"2019-01-02",1601,58.62,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1602,41.18,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1603,30,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1605,38.46,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1606,82.35,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1608,51.52,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1610,25,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1611,69.7,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1616,43.48,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1620,57.14,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1623,28.57,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1625,57.14,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1627,7.14,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1628,16.67,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1634,22.73,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1635,16.67,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1636,92,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1637,61.76,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1639,36.36,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1640,30.77,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1641,22.22,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1642,40,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1643,45.45,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1646,13.04,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1650,45.71,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1651,17.39,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1652,30,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1653,58.82,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1654,16.67,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1655,46.43,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1656,68,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1657,16.67,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
"2019-01-02",1659,60,1,-4.9,0,1.7,42.8,1023.4,8.7,0,0,-3.3,0
